iter	Passed	Remaining
582	3870	2768
583	3876	2761
584	3882	2753
585	3888	2747
586	3893	2739
587	3899	2732
588	3906	2725
589	3911	2718
590	3916	2710
591	3923	2704
592	3929	2697
593	3934	2689
594	3941	2682
595	3946	2674
596	3951	2667
597	3956	2659
598	3962	2652
599	3967	2645
600	3973	2638
601	3979	2630
602	3985	2623
603	3989	2615
604	3996	2609
605	4002	2602
606	4008	2595
607	4014	2588
608	4019	2580
609	4025	2573
610	4030	2566
611	4035	2558
612	4041	2551
613	4046	2543
614	4051	2536
615	4056	2528
616	4061	2521
617	4066	2513
618	4071	2506
619	4077	2499
620	4083	2492
621	4089	2485
622	4094	2477
623	4099	2470
624	4105	2463
625	4111	2456
626	4117	2449
627	4122	2442
628	4127	2434
629	4133	2427
630	4139	2420
631	4144	2413
632	4151	2407
633	4156	2399
634	4163	2392
635	4170	2386
636	4174	2379
637	4181	2372
638	4186	2365
639	4191	2357
640	4197	2351
641	4202	2343
642	4208	2336
643	4213	2329
644	4219	2322
645	4224	2315
646	4230	2308
647	4236	2301
648	4241	2293
649	4247	2287
650	4252	2279
651	4258	2272
652	4264	2266
653	4269	2258
654	4275	2251
655	4281	2245
656	4287	2238
657	4292	2231
658	4299	2224
659	4303	2217
660	4309	2209
661	4315	2203
662	4320	2196
663	4325	2189
664	4332	2182
665	4337	2175
666	4343	2168
667	4348	2161
668	4354	2154
669	4359	2147
670	4365	2140
671	4370	2133
672	4376	2126
673	4381	2119
674	4387	2112
675	4393	2105
676	4398	2098
677	4403	2091
678	4409	2084
679	4415	2077
680	4421	2070
681	4427	2064
682	4433	2057
683	4438	2050
684	4445	2044
685	4450	2037
686	4455	2030
687	4463	2024
688	4468	2016
689	4474	2010
690	4479	2003
691	4484	1996
692	4490	1989
693	4495	1982
694	4501	1975
695	4506	1968
696	4512	1961
697	4517	1954
698	4523	1948
699	4529	1941
700	4535	1934
701	4543	1928
702	4549	1922
703	4554	1915
704	4560	1908
705	4566	1901
706	4571	1894
707	4577	1887
708	4582	1880
709	4588	1874
710	4593	1867
711	4599	1860
712	4604	1853
713	4609	1846
714	4614	1839
715	4619	1832
716	4624	1825
717	4629	1818
718	4634	1811
719	4640	1804
720	4645	1797
721	4650	1790
722	4655	1783
723	4660	1776
724	4665	1769
725	4671	1762
726	4676	1756
727	4681	1749
728	4687	1742
729	4692	1735
730	4697	1728
731	4702	1721
732	4707	1714
733	4712	1707
734	4717	1700
735	4722	1693
736	4727	1687
737	4733	1680
738	4738	1673
739	4743	1666
740	4748	1659
741	4753	1652
742	4758	1645
743	4763	1639
744	4768	1632
745	4774	1625
746	4779	1618
747	4785	1612
748	4790	1605
749	4795	1598
750	4801	1591
751	4806	1585
752	4811	1578
753	4816	1571
754	4821	1564
755	4827	1557
756	4831	1551
757	4836	1544
758	4842	1537
759	4847	1530
760	4852	1523
761	4857	1517
762	4862	1510
763	4867	1503
764	4873	1497
765	4878	1490
766	4883	1483
767	4889	1476
768	4894	1470
769	4899	1463
770	4904	1456
771	4909	1450
772	4915	1443
773	4920	1436
774	4925	1429
775	4930	1423
776	4935	1416
777	4940	1409
778	4947	1403
779	4953	1397
780	4958	1390
781	4963	1383
782	4968	1377
783	4973	1370
784	4979	1363
785	4983	1356
786	4989	1350
787	4994	1343
788	4999	1337
789	5005	1330
790	5010	1323
791	5016	1317
792	5021	1310
793	5026	1304
794	5031	1297
795	5036	1290
796	5041	1284
797	5046	1277
798	5051	1270
799	5056	1264
800	5062	1257
801	5067	1251
802	5072	1244
803	5077	1237
804	5082	1231
805	5088	1224
806	5093	1218
807	5099	1211
808	5107	1205
809	5114	1199
810	5119	1193
811	5124	1186
812	5131	1180
813	5136	1173
814	5142	1167
815	5148	1160
816	5153	1154
817	5160	1148
818	5165	1141
819	5170	1134
820	5177	1128
821	5182	1122
822	5187	1115
823	5194	1109
824	5199	1102
825	5204	1096
826	5211	1090
827	5216	1083
828	5221	1077
829	5228	1070
830	5233	1064
831	5238	1057
832	5245	1051
833	5250	1045
834	5255	1038
835	5261	1032
836	5267	1025
837	5274	1019
838	5279	1013
839	5285	1006
840	5291	1000
841	5297	994
842	5302	987
843	5310	981
844	5315	975
845	5320	968
846	5327	962
847	5332	955
848	5338	949
849	5343	942
850	5348	936
851	5354	930
852	5360	923
853	5365	917
854	5372	911
855	5377	904
856	5382	898
857	5389	892
858	5394	885
859	5399	879
860	5406	872
861	5411	866
862	5416	859
863	5423	853
864	5428	847
865	5433	840
866	5441	834
867	5446	828
868	5453	822
869	5458	815
870	5463	809
871	5470	803
872	5475	796
873	5481	790
874	5488	784
875	5492	777
876	5497	771
877	5504	764
878	5509	758
879	5514	752
880	5521	745
881	5526	739
882	5531	733
883	5538	726
884	5543	720
885	5549	714
886	5554	707
887	5560	701
888	5566	694
889	5571	688
890	5576	682
891	5583	676
892	5588	669
893	5594	663
894	5601	657
895	5607	650
896	5612	644
897	5619	638
898	5624	631
899	5629	625
900	5635	619
901	5641	612
902	5648	606
903	5653	600
904	5658	594
905	5665	587
906	5670	581
907	5675	575
908	5682	568
909	5686	562
910	5691	556
911	5698	549
912	5704	543
913	5710	537
914	5717	531
915	5722	524
916	5727	518
917	5733	512
918	5738	505
919	5745	499
920	5751	493
921	5757	487
922	5764	480
923	5769	474
924	5774	468
925	5780	461
926	5786	455
927	5791	449
928	5797	443
929	5802	436
930	5809	430
931	5814	424
932	5820	417
933	5825	411
934	5831	405
935	5836	399
936	5842	392
937	5848	386
938	5853	380
939	5859	374
940	5864	367
941	5870	361
942	5877	355
943	5882	348
944	5887	342
945	5894	336
946	5899	330
947	5904	323
948	5911	317
949	5916	311
950	5921	305
951	5928	298
952	5933	292
953	5938	286
954	5945	280
955	5950	273
956	5955	267
957	5961	261
958	5966	255
959	5972	248
960	5978	242
961	5983	236
962	5988	230
963	5995	223
964	6000	217
965	6006	211
966	6011	205
967	6016	198
968	6023	192
969	6027	186
970	6032	180
971	6040	174
972	6046	167
973	6051	161
974	6057	155
975	6063	149
976	6068	142
977	6074	136
978	6080	130
979	6085	124
980	6092	118
981	6098	111
982	6104	105
983	6127	99
984	6138	93
985	6144	87
986	6154	81
987	6161	74
988	6168	68
989	6175	62
990	6181	56
991	6188	49
992	6195	43
993	6200	37
994	6206	31
995	6211	24
996	6216	18
997	6223	12
998	6228	6
999	6234	0
